,Unnamed: 0,headline,hyperlink,published,query,source,content
0,0,Factbox: Ten years of bitcoin,https://www.reuters.com/article/idUSKCN1N50GE,"October 31, 2018 01:19am EDT","['bitcoin', '', '']",reuters,"LONDON/NEW YORK (Reuters) - Bitcoin, the world’s first and most famous cryptocurrency, celebrates its tenth birthday on Wednesday.   Its emergence has spawned a multitude of other digital currencies, brought blockchain technology to global attention, and vexed regulators worried about its crime misuse and weakness to hacking.  The following are some major milestones in bitcoin’s first decade:  Oct. 31, 2008    The still-unidentified Satoshi Nakamoto releases a nine-page academic paper that sets out how bitcoin would work. “Bitcoin: A Peer-to-Peer Electronic Cash System” also gives the first description of the blockchain decentralized ledger, the technology that underpins the digital currency.  Jan. 3, 2009    Nakamoto mines the first “block” of bitcoins on the blockchain. Days later, Nakamoto sends bitcoins in its first ever transaction.  Jan. 12, 2009   The first bitcoin transaction takes place between Nakamoto and developer Hal Finney. The transaction is recorded in block 170.  Oct. 12, 2009  Martti Malmi, a software developer from Finland, sends 5,050 bitcoins for $5.02 to NewLibertyStandard, one of the regulars in a bitcoin forum. The transaction is realized using PayPal. The bitcoins are used to seed a new bitcoin exchange site called New Liberty Standard.  October 2009   The New Liberty Standard establishes the value of bitcoin at 1,309.03 bitcoins to 1 dollar.   February 2010  The world’s first bitcoin market is established by dwdollar.  May 22, 2010    Software developer Laszlo Hanecz buys two pizzas for 10,000 bitcoins, widely seen as the first time the digital currency is used for its intended purpose - the purchase of goods.  July 7, 2010  Bitcoin’s new software is released by the community of developers and over the next five days, there is a ten-fold increase in its exchange value - from US$0.008 per bitcoin to US$0.08 per bitcoin.  July 17, 2010  Mt. Gox is launched, which eventually becomes the world’s largest bitcoin exchange, prior to going bankrupt in 2014.  Nov. 28, 2013  As media attention intensifies, Bitcoin tops $1,000 for the first time. It falls below that level only days later, and does not reach the landmark again for over three years.       Feb. 28, 2014  Tokyo-based Mt. Gox files for bankruptcy protection after hackers steal some 850,00 bitcoins - worth around half a billion U.S. dollars - and $28 million in cash. The theft, the biggest of digital coins ever, underscores security flaws at exchanges and the risks faced by investors in the unregulated sector.  Aug. 1, 2017  Bitcoin’s underlying software code splits to create Bitcoin Cash, a clone of bitcoin. The move is spearheaded by bitcoin miners in China unhappy with scheduled improvements to the currency’s technology meant to increase its capacity to process transactions.        Dec. 10, 2017  Chicago exchange operators Cboe Global Markets Inc and CME Group Inc launch bitcoin futures trading, allowing professional mainstream investors to bet on the price of the digital currency.         Dec. 18, 2017  Bitcoin hits its record high of $19,666 on cryptocurrency exchange Bitstamp, the high water mark of a frenzied year that sees bitcoin climb by more than 1,300 percent as retail investors scramble to buy.         June 29, 2018  Bitcoin slides to its lowest level since its December peak, hurt by tighter regulatory oversight across the world and waning interest from retail investors.            Oct. 19, 2018  The global money-laundering watchdog says it will set out by next year rules for how governments should regulate cryptocurrency exchanges in a bid to stamp out the criminal use of bitcoin and other digital coins.  Reporting by Tom Wilson in London and Gertrude Chavez-Dreyfuss in New York, Editing by Rosalba O'Brien"
1,1,Cboe puts the brakes on bitcoin futures,https://www.reuters.com/article/idUSL1N2120SJ,"March 15, 2019 11:21am EDT","['bitcoin', '', '']",reuters,"NEW YORK (Reuters) - Cboe Global Markets said it no longer plans to offer bitcoin futures contracts as the exchange operator reassesses its plans for trading digital asset derivatives amid slumping volumes.       Currently listed Cboe XBT futures contracts, which expire in June, remain available for trading, Cboe said in a statement late on Thursday.  Cboe launched the first U.S. bitcoin contracts in December 2017, around the time the underlying cryptocurrency hit an all-time high near $20,000. CME Group Inc followed shortly after with its own product, which it still lists.  The contracts were aimed at making it easier for investors and speculators to trade the new asset class. Building liquidity in the underlying product was also seen as a crucial step to gaining approval for a bitcoin exchange-traded fund.  However, interest in Cboe’s bitcoin futures contract has waned along with a crash in the price of bitcoin. The cryptocurrency is currently at around $3,855.   Chicago-based Cboe declined further comment.   The exchange currently has an application with the Commodities Futures Trading Commission to list a bitcoin ETF.   Reporting by John McCrank; Editing by Steve Orlofsky"
2,2,Cboe puts the brakes on bitcoin futures,https://www.reuters.com/article/idUSKCN1QW261,"March 15, 2019 11:26am EDT","['bitcoin', '', '']",reuters,"NEW YORK (Reuters) - Cboe Global Markets said it no longer plans to offer bitcoin futures contracts as the exchange operator reassesses its plans for trading digital asset derivatives amid slumping volumes.       Currently listed Cboe XBT futures contracts, which expire in June, remain available for trading, Cboe said in a statement late on Thursday.  Cboe launched the first U.S. bitcoin contracts in December 2017, around the time the underlying cryptocurrency hit an all-time high near $20,000. CME Group Inc followed shortly after with its own product, which it still lists.  The contracts were aimed at making it easier for investors and speculators to trade the new asset class. Building liquidity in the underlying product was also seen as a crucial step to gaining approval for a bitcoin exchange-traded fund.  However, interest in Cboe’s bitcoin futures contract has waned along with a crash in the price of bitcoin. The cryptocurrency is currently at around $3,855.   Chicago-based Cboe declined further comment.   The exchange currently has an application with the Commodities Futures Trading Commission to list a bitcoin ETF.   Reporting by John McCrank; Editing by Steve Orlofsky"
3,3,Bitcoin ransoms just are not what they used to be,https://www.reuters.com/article/us-usa-bomb-threats-bitcoin/bitcoin-ransoms-just-are-not-what-they-used-to-be-idUSKBN1OC35C,"December 13, 2018 07:06pm EST","['bitcoin', '', '']",reuters,"(Reuters) - Give me bitcoin or your life. Seriously?  The people behind a rash of bomb threats made across the United States and Canada on Thursday demanded a $20,000 ransom to be paid in bitcoin. Authorities said none of the threats - emailed to hundreds of businesses, public offices and schools - appeared credible.  Frankly, the perpetrators would have been better off asking for Turkish lira.  Bitcoin and other cryptocurrencies have long been a favorite ransom tender for cyber criminals thanks to the currencies’ anonymous nature. U.S. cyber security firm Chainalysis estimates that from 2012 through 2017, global ransom payments using bitcoin totaled at least $31 million.  Anonymity aside, of course, the big appeal was an incredible run-up in bitcoin’s value over that time. It shot from $5 a coin at the start of 2012 to nearly $20,000 at this time last year, according to data from Bitstamp, one of the larger bitcoin exchanges.  Today? Not so hot.  Bitcoin on Thursday was trading at around $3,250, down more than 80 percent from its record high. In the last three months alone it has plunged 50 percent.  Even the currencies of some crisis-hit economies like Turkey have done better: The lira is up 30 percent since August.  (GRAPHIC: Bitcoin falls on hard times - tmsnrt.rs/2zWLEJH)  Reporting by Gertrude Chavez-Dreyfus and Anna Irrera in New York; Writing by Dan Burns; Editing by Matthew Lewis"
4,4,Bitcoin ransoms just are not what they used to be,https://www.reuters.com/article/idUSL1N1YI2G8,"December 13, 2018 06:57pm EST","['bitcoin', '', '']",reuters,"(Reuters) - Give me bitcoin or your life. Seriously?  The people behind a rash of bomb threats made across the United States and Canada on Thursday demanded a $20,000 ransom to be paid in bitcoin. Authorities said none of the threats - emailed to hundreds of businesses, public offices and schools - appeared credible.  Frankly, the perpetrators would have been better off asking for Turkish lira.  Bitcoin and other cryptocurrencies have long been a favorite ransom tender for cyber criminals thanks to the currencies’ anonymous nature. U.S. cyber security firm Chainalysis estimates that from 2012 through 2017, global ransom payments using bitcoin totaled at least $31 million.  Anonymity aside, of course, the big appeal was an incredible run-up in bitcoin’s value over that time. It shot from $5 a coin at the start of 2012 to nearly $20,000 at this time last year, according to data from Bitstamp, one of the larger bitcoin exchanges.  Today? Not so hot.  Bitcoin on Thursday was trading at around $3,250, down more than 80 percent from its record high. In the last three months alone it has plunged 50 percent.  Even the currencies of some crisis-hit economies like Turkey have done better: The lira is up 30 percent since August.  (GRAPHIC: Bitcoin falls on hard times - tmsnrt.rs/2zWLEJH)  Reporting by Gertrude Chavez-Dreyfus and Anna Irrera in New York; Writing by Dan Burns; Editing by Matthew Lewis"
5,5,"Bitcoin may hover above $4,795",https://www.reuters.com/article/idUSKCN1NP097,"November 19, 2018 10:18pm EST","['bitcoin', '', '']",reuters,"SINGAPORE (Reuters) - Bitcoin has found a support at $4,795. It may hover above this level or bounce toward a resistance at $5,151.  (Graphic: TECH/C - tmsnrt.rs/2PGzApA)   The support and the resistance are identified respectively as the 100 percent and the 86.4 percent projection levels of a downward wave (c) from $7,411.85.   Given that both the former supports at $5,412 and $5,151 temporarily stopped the fall, the current support looks stronger and may trigger a bounce.  A break below $4,612 could cause a loss into the range of $4,177-$4,413.      Reporting by Wang Tao; Editing by Rashmi Aich"
6,6,Cboe shelving plan for bitcoin-tracking product: filing,https://www.reuters.com/article/idUSKCN1PH2LM,"January 23, 2019 03:05pm EST","['bitcoin', '', '']",reuters,"NEW YORK (Reuters) - The U.S. Securities and Exchange Commission said on Wednesday that Cboe Global Markets Inc is pulling its proposal to list an exchange-traded product tracking the price of bitcoin, delivering another blow to cryptocurrency enthusiasts.  A Cboe-run exchange dropped plans that have been in front of the commission since June last year to list the VanEck SolidX Bitcoin Trust, the market regulator said in a filing.  Reporting by Trevor Hunnicutt; editing by Diane Craft"
7,7,Cboe shelving plan for bitcoin-tracking product -filing,https://www.reuters.com/article/idUSL1N1ZN1FQ,"January 23, 2019 02:58pm EST","['bitcoin', '', '']",reuters,"NEW YORK (Reuters) - The U.S. Securities and Exchange Commission said on Wednesday that Cboe Global Markets Inc is pulling its proposal to list an exchange-traded product tracking the price of bitcoin, delivering another blow to cryptocurrency enthusiasts.  A Cboe-run exchange dropped plans that have been in front of the commission since June last year to list the VanEck SolidX Bitcoin Trust, the market regulator said in a filing.  Reporting by Trevor Hunnicutt; editing by Diane Craft"
8,8,"French 'Tabac' shops diversify, selling bitcoin for cash",https://www.reuters.com/article/idUSKCN1P21ZN,"January 09, 2019 10:06am EST","['bitcoin', '', '']",reuters,"PARIS (Reuters) - As well as cigarettes, cigars, lottery tickets and the like, visitors to Paris Tabacs can now also buy bitcoins.  With the backing of French fintech group Keplerk, the crypto-currency has gone on sale in six tobacco shops in and around Paris.  Adil Zakhar, one of Keplerk’s co-founders, hopes to enrol up to 6,500 Tabacs by February.   “Some people find it complicated to get bitcoins on-line,” Zakhar said . “They trust their local tobacco shop owner more than they would trust some remote anonymous website.”  Late last year, Keplerk secured a contract with a local cash-register software provider to include an option for Tabac owners to sell vouchers redeemable for bitcoins in an electronic wallet that is held on Keplerk’s website.  Threatened by dwindling tobacco sales, France’s 24,000 licensed tobacco shops have diversified into products such as prepaid credit cards, cellphone credits and money transfer services.  Cyril Azria, 45, one of the first buyers on Tuesday, is a tech enthusiast.  “I’ll use the bitcoins to buy some computer material on the internet and the rest to speculate,” he said.  “It’s a good time to buy,” he said, after spending 150 euros on the crypto-currency.   Bitcoin has attracted a mix of investors, some convinced that it can reshape global finance and others attracted by rapid gains that pushed the value close to $20,000 in late 2017.  It has since lost three-quarters of its value, falling to $4,016 on Tuesday.  French regulators in November warned potential customers against buying crypto-currencies, saying the unregulated financial instrument is highly volatile.  However, they have not blocked Keplerk’s tabac plan.   Industry observers have criticized the retail initiative, saying it is cheaper and faster to buy bitcoin online.  Reporting by Inti Landauro; Editing by Alexandra Hudson"
9,9,Bitcoin sinks abruptly after seven weeks of recovery,https://www.reuters.com/article/idUSKCN1SN0CN,"May 17, 2019 05:35am EDT","['bitcoin', '', '']",reuters,"TOKYO (Reuters) - The price of bitcoin abruptly sank more than 20% on Friday, a move that didn’t appear to have a particular trigger and came after a strong recovery in the crypto-currency since early April that took it to 10-month highs.  Bitcoin fell to as low as $6,178 at Bitstamp exchange, down 21.6% from the previous close and last stood down 8.2% at $7,236.  “The sudden fall does not appear to have been driven by any particular news item,” said Ryan Rabaglia, head of trading at digital asset brokerage OSL.  “Rather it looks to be driven by large sell orders by a handful of people or even just one person, who are likely realizing profits after the recent price rise or looking to acquire more at lower prices,” Rabaglia said.  After many lackluster months, the price of bitcoin started to rally from early April, hitting a 10-month high earlier this week.  While there is no clear consensus on what drove the rally, some analyst have noted rising tensions between Washington and Beijing may have helped to boost demand for bitcoin and other digital currencies that are not backed by a government.  Writing by Hideyuki Sano, additional reporting by John Alun in Hong Kong; Editing by Shri Navaratnam"
