"","n","date","vcrix"
"1",1,"2016-05-01",1000
"2",2,"2016-05-02",959.985125203813
"3",3,"2016-05-03",921.846910648962
"4",4,"2016-05-04",884.223565469176
"5",5,"2016-05-05",850.12741738044
"6",6,"2016-05-06",815.893091512324
"7",7,"2016-05-07",791.730933485027
"8",8,"2016-05-08",760.285181434827
"9",9,"2016-05-09",729.303513941109
"10",10,"2016-05-10",699.531891916733
"11",11,"2016-05-11",693.201230982473
"12",12,"2016-05-12",666.531019944675
"13",13,"2016-05-13",639.779318964569
"14",14,"2016-05-14",614.296585877822
"15",15,"2016-05-15",591.136459584566
"16",16,"2016-05-16",567.001785686487
"17",17,"2016-05-17",543.973046022467
"18",18,"2016-05-18",521.760627274229
"19",19,"2016-05-19",503.40274468219
"20",20,"2016-05-20",499.373216092189
"21",21,"2016-05-21",480.266013844127
"22",22,"2016-05-22",460.82151283704
"23",23,"2016-05-23",446.92971565097
"24",24,"2016-05-24",428.682811174878
"25",25,"2016-05-25",411.304300048682
"26",26,"2016-05-26",394.606105236118
"27",27,"2016-05-27",380.304545234182
"28",28,"2016-05-28",407.975823012206
"29",29,"2016-05-29",751.405866756819
"30",30,"2016-05-30",721.151140556284
"31",31,"2016-05-31",701.245843772161
"32",32,"2016-06-01",701.245843772161
"33",33,"2016-06-02",676.070697754668
"34",34,"2016-06-03",649.103665413317
"35",35,"2016-06-04",706.187420774403
"36",36,"2016-06-05",677.375056802512
"37",37,"2016-06-06",649.737116234641
"38",38,"2016-06-07",630.92263963837
"39",39,"2016-06-08",608.583645299378
"40",40,"2016-06-09",584.665516926283
"41",41,"2016-06-10",565.325985422046
"42",42,"2016-06-11",542.911582455623
"43",43,"2016-06-12",549.190706410311
"44",44,"2016-06-13",944.271861267179
"45",45,"2016-06-14",974.168534651993
"46",46,"2016-06-15",938.696598953517
"47",47,"2016-06-16",901.082374716525
"48",48,"2016-06-17",1097.48042095187
"49",49,"2016-06-18",1120.73047301125
"50",50,"2016-06-19",1095.83856686974
"51",51,"2016-06-20",1058.40380410082
"52",52,"2016-06-21",1056.64313081922
"53",53,"2016-06-22",1160.27834585653
"54",54,"2016-06-23",1350.81760063132
"55",55,"2016-06-24",1342.95126777877
"56",56,"2016-06-25",1340.31543967256
"57",57,"2016-06-26",1286.33346803687
"58",58,"2016-06-27",1292.49473366494
"59",59,"2016-06-28",1252.27612617555
"60",60,"2016-06-29",1207.24585369755
"61",61,"2016-06-30",1160.41847768999
"62",62,"2016-07-01",1160.41847768999
"63",63,"2016-07-02",1113.06692193451
"64",64,"2016-07-03",1071.79085402822
"65",65,"2016-07-04",1064.92824481155
"66",66,"2016-07-05",1026.68486306398
"67",67,"2016-07-06",1002.99592203455
"68",68,"2016-07-07",963.742335202472
"69",69,"2016-07-08",1012.40775081213
"70",70,"2016-07-09",1028.85087349786
"71",71,"2016-07-10",998.047827968631
"72",72,"2016-07-11",958.466776224348
"73",73,"2016-07-12",920.610526169679
"74",74,"2016-07-13",906.868075908112
"75",75,"2016-07-14",880.739377894567
"76",76,"2016-07-15",845.837929361877
"77",77,"2016-07-16",812.781242046024
"78",78,"2016-07-17",779.633989038491
"79",79,"2016-07-18",752.953557268676
"80",80,"2016-07-19",725.997859830066
"81",81,"2016-07-20",696.538522304538
"82",82,"2016-07-21",668.281134839057
"83",83,"2016-07-22",642.111319112637
"84",84,"2016-07-23",619.117893146275
"85",85,"2016-07-24",594.518752322674
"86",86,"2016-07-25",572.241177031502
"87",87,"2016-07-26",549.457944244758
"88",88,"2016-07-27",555.390611436305
"89",89,"2016-07-28",540.522282521947
"90",90,"2016-07-29",518.706457978109
"91",91,"2016-07-30",497.526802130201
"92",92,"2016-07-31",480.481097467777
"93",93,"2016-08-01",480.481097467777
"94",94,"2016-08-02",506.789620252253
"95",95,"2016-08-03",1067.14276544012
"96",96,"2016-08-04",1162.81077660352
"97",97,"2016-08-05",1121.00826805254
"98",98,"2016-08-06",1075.26983859961
"99",99,"2016-08-07",1034.93835185987
"100",100,"2016-08-08",993.069404491077
"101",101,"2016-08-09",952.768496797294
"102",102,"2016-08-10",914.210437506779
"103",103,"2016-08-11",877.336194758584
"104",104,"2016-08-12",843.04028242804
"105",105,"2016-08-13",808.851471346254
"106",106,"2016-08-14",777.156276731358
"107",107,"2016-08-15",759.643814253805
"108",108,"2016-08-16",730.053027686152
"109",109,"2016-08-17",700.687555686731
"110",110,"2016-08-18",672.935675517216
"111",111,"2016-08-19",645.486040234682
"112",112,"2016-08-20",619.134802506087
"113",113,"2016-08-21",598.952395348294
"114",114,"2016-08-22",575.291927966191
"115",115,"2016-08-23",552.117023994371
"116",116,"2016-08-24",532.673940191637
"117",117,"2016-08-25",513.180038453511
"118",118,"2016-08-26",493.277545958321
"119",119,"2016-08-27",473.153506964808
"120",120,"2016-08-28",466.763500180163
"121",121,"2016-08-29",447.943425524182
"122",122,"2016-08-30",429.999861818167
"123",123,"2016-08-31",412.654561456559
"124",124,"2016-09-01",412.654561456559
"125",125,"2016-09-02",395.839836286165
"126",126,"2016-09-03",380.217240082037
"127",127,"2016-09-04",398.473741012687
"128",128,"2016-09-05",394.503150815244
"129",129,"2016-09-06",379.087021436084
"130",130,"2016-09-07",363.610799570552
"131",131,"2016-09-08",349.01188080803
"132",132,"2016-09-09",340.272827819623
"133",133,"2016-09-10",328.200215905096
"134",134,"2016-09-11",315.890187615383
"135",135,"2016-09-12",364.398591528459
"136",136,"2016-09-13",349.554228869074
"137",137,"2016-09-14",335.430672122677
"138",138,"2016-09-15",321.773655294039
"139",139,"2016-09-16",309.149069677635
"140",140,"2016-09-17",296.549751699949
"141",141,"2016-09-18",284.977836898975
"142",142,"2016-09-19",273.432223321761
"143",143,"2016-09-20",262.869185486124
"144",144,"2016-09-21",252.691462313572
"145",145,"2016-09-22",285.176090781388
"146",146,"2016-09-23",275.079021277767
"147",147,"2016-09-24",269.780223989809
"148",148,"2016-09-25",259.678507571122
"149",149,"2016-09-26",249.750368520698
"150",150,"2016-09-27",240.396453504285
"151",151,"2016-09-28",231.504329180513
"152",152,"2016-09-29",222.05831466883
"153",153,"2016-09-30",214.228519083851
"154",154,"2016-10-01",214.228519083851
"155",155,"2016-10-02",205.496783980774
"156",156,"2016-10-03",201.211768791361
"157",157,"2016-10-04",193.06815891925
"158",158,"2016-10-05",193.972815298096
"159",159,"2016-10-06",187.007297643989
"160",160,"2016-10-07",181.742064633386
"161",161,"2016-10-08",174.621213446482
"162",162,"2016-10-09",170.980318652777
"163",163,"2016-10-10",167.18712094592
"164",164,"2016-10-11",163.366567012466
"165",165,"2016-10-12",255.486735692755
"166",166,"2016-10-13",252.495668578261
"167",167,"2016-10-14",242.871990002709
"168",168,"2016-10-15",234.090444209677
"169",169,"2016-10-16",228.512454755254
"170",170,"2016-10-17",219.592107342703
"171",171,"2016-10-18",215.544598807602
"172",172,"2016-10-19",206.74386491156
"173",173,"2016-10-20",219.746725334969
"174",174,"2016-10-21",210.773791340334
"175",175,"2016-10-22",202.16905518921
"176",176,"2016-10-23",248.694772027179
"177",177,"2016-10-24",241.455896889101
"178",178,"2016-10-25",233.381555058492
"179",179,"2016-10-26",225.52781050917
"180",180,"2016-10-27",264.114469302704
"181",181,"2016-10-28",257.299670649497
"182",182,"2016-10-29",247.565237023049
"183",183,"2016-10-30",246.63962370415
"184",184,"2016-10-31",248.151025772976
"185",185,"2016-11-01",248.151025772976
"186",186,"2016-11-02",303.090449250365
"187",187,"2016-11-03",291.486194354185
"188",188,"2016-11-04",448.744533343326
"189",189,"2016-11-05",447.330496044932
"190",190,"2016-11-06",429.175153240861
"191",191,"2016-11-07",413.165614076048
"192",192,"2016-11-08",400.540603533133
"193",193,"2016-11-09",384.291813956624
"194",194,"2016-11-10",372.955737645912
"195",195,"2016-11-11",365.336407187276
"196",196,"2016-11-12",350.418989403929
"197",197,"2016-11-13",357.895930081583
"198",198,"2016-11-14",343.284590982163
"199",199,"2016-11-15",329.271188014597
"200",200,"2016-11-16",317.621750097264
"201",201,"2016-11-17",346.519552023218
"202",202,"2016-11-18",334.573501705479
"203",203,"2016-11-19",322.206568674362
"204",204,"2016-11-20",309.143487287412
"205",205,"2016-11-21",342.552689522355
"206",206,"2016-11-22",331.62317740669
"207",207,"2016-11-23",326.213497023571
"208",208,"2016-11-24",320.716843093759
